Country,Signatures,Threshold,Percentage,Petition_ID,Population,GDP,Population_Density,Unemployment_Rate,Tertiary_Enrollment,Life_Expectancy,Urban_Population,Labor_Participation,Signatures_Per_Capita,GDP_Per_Capita,Threshold_Ratio,Threshold_Per_Capita,Petition_Name
Cyprus,8,4230,0.19,eci_table_04,1198575.0,24564647935.0,131,7.27,75.9,80.8,800708.0,63.1,6.6745927455520095e-06,20494.87761299877,0.0018912529550827422,0.003529190914210625,Air-Quotas
Czech Republic,20,14805,0.14,eci_table_04,10669709.0,246489245495.0,139,1.93,64.1,79.0,7887156.0,60.6,1.8744653673310116e-06,23101.777704996453,0.0013508949679162446,0.0013875729881667814,Air-Quotas
Denmark,44,9870,0.45,eci_table_04,5818553.0,348078018464.0,137,4.91,80.6,81.0,5119978.0,62.2,7.562017566910536e-06,59822.092960913134,0.004457953394123607,0.0016962980314865225,Air-Quotas
Estonia,11,4935,0.22,eci_table_04,1331824.0,31386949981.0,31,5.11,69.6,78.2,916024.0,63.6,8.259349583728781e-06,23566.890205462583,0.0022289766970618034,0.003705444563245594,Air-Quotas
Finland,76,9870,0.77,eci_table_04,5520314.0,268761201365.0,18,6.59,88.2,81.7,4716888.0,59.1,1.3767332800271869e-05,48685.853986747854,0.007700101317122594,0.0017879417728774124,Air-Quotas
France,5116,55695,9.19,eci_table_04,67059887.0,2715518274227.0,119,8.43,65.6,82.5,54123364.0,55.1,7.629001820417622e-05,40493.9285720389,0.09185743783104408,0.0008305263025569965,Air-Quotas
Germany,478,67680,0.71,eci_table_04,83132799.0,3845630030824.0,240,3.04,70.2,80.9,64324835.0,60.8,5.749836475492663e-06,46258.8782897109,0.007062647754137116,0.0008141191059860742,Air-Quotas
Greece,26,14805,0.18,eci_table_04,10716322.0,209852761469.0,81,17.24,136.6,81.3,8507474.0,51.8,2.4262055582129765e-06,19582.53601086268,0.0017561634582911178,0.0013815374342055044,Air-Quotas
Hungary,41,14805,0.28,eci_table_04,9769949.0,160967157504.0,107,3.4,48.5,75.8,6999582.0,56.5,4.196541865264599e-06,16475.741838979917,0.0027693346842283012,0.0015153610320790825,Air-Quotas
Republic of Ireland,39,9165,0.43,eci_table_04,5007069.0,388698711348.0,72,4.93,77.8,82.3,3133123.0,62.1,7.78898792886617e-06,77629.9889911643,0.00425531914893617,0.0018304121632835497,Air-Quotas
Italy,330,53580,0.62,eci_table_04,60297396.0,2001244392042.0,206,9.89,61.9,82.9,42651966.0,49.6,5.472873156910457e-06,33189.56579886136,0.006159014557670772,0.0008885955871129162,Air-Quotas
Latvia,8,5640,0.14,eci_table_04,1912789.0,34117202555.0,30,6.52,88.1,74.7,1304943.0,61.4,4.182374532684996e-06,17836.364886560932,0.0014184397163120568,0.0029485740455429217,Air-Quotas
Lithuania,10,7755,0.13,eci_table_04,2786844.0,54219315600.0,43,6.35,72.4,75.7,1891013.0,61.6,3.5882884007859787e-06,19455.45412660343,0.0012894906511927789,0.0027827176548095266,Air-Quotas
Luxembourg,23,4230,0.54,eci_table_04,645397.0,71104919108.0,242,5.36,19.2,82.1,565488.0,59.3,3.563698002934628e-05,110172.37314087298,0.005437352245862884,0.006554105457571077,Air-Quotas
Malta,9,4230,0.21,eci_table_04,502653.0,14786156563.0,1380,3.47,54.3,82.3,475902.0,56.5,1.790499609074252e-05,29416.230606402427,0.002127659574468085,0.008415348162648984,Air-Quotas
Netherlands,135,20445,0.66,eci_table_04,17332850.0,909070395161.0,508,3.2,85.0,81.8,15924729.0,63.6,7.788678722772077e-06,52447.83143920359,0.006603081438004402,0.0011795521221264823,Air-Quotas
Poland,78,36660,0.21,eci_table_04,37970874.0,592164400688.0,124,3.47,67.8,77.6,22796574.0,56.7,2.054206073844916e-06,15595.227033436207,0.002127659574468085,0.0009654768547071105,Air-Quotas
Portugal,33,14805,0.22,eci_table_04,10269417.0,237686075635.0,111,6.33,63.9,81.3,6753579.0,58.8,3.2134248711489657e-06,23145.04081731222,0.0022289766970618034,0.0014416592490109224,Air-Quotas
Romania,47,23265,0.2,eci_table_04,19356544.0,250077444017.0,84,3.98,49.4,75.4,10468793.0,54.7,2.428119399826746e-06,12919.529644186483,0.00202020202020202,0.0012019191029142393,Air-Quotas
Slovakia,11,9870,0.11,eci_table_04,5454073.0,105422304976.0,114,5.56,46.6,77.2,2930419.0,59.5,2.0168413587423564e-06,19329.0968008679,0.0011144883485309017,0.001809656746435187,Air-Quotas
Slovenia,17,5640,0.3,eci_table_04,2087946.0,53742159517.0,103,4.2,78.6,81.0,1144654.0,58.4,8.141973020375048e-06,25739.247814359183,0.0030141843971631206,0.0027012192844067806,Air-Quotas
Spain,194,41595,0.47,eci_table_04,47076781.0,1394116310769.0,94,13.96,88.9,83.3,37927409.0,57.5,4.120927469531105e-06,29613.67113798626,0.004664022118043034,0.0008835565881193109,Air-Quotas
Sweden,70,14805,0.47,eci_table_04,10285453.0,530832908738.0,25,6.48,67.0,82.5,9021165.0,64.6,6.805728439962732e-06,51610.06605523354,0.004728132387706856,0.0014394115650521178,Air-Quotas
Austria,20714,13395,154.64,eci_table_05,8877067.0,446314739528.0,109,4.67,85.1,81.6,5194416.0,60.7,0.002333428372231504,50277.27508736838,1.5463979096677865,0.0015089443393859706,Stop Destroying Videogames
Belgium,31846,14805,215.1,eci_table_05,11484055.0,529606710418.0,383,5.59,79.7,81.6,11259082.0,53.6,0.0027730623024706867,46116.699233676605,2.151030057413036,0.0012891787787501889,Stop Destroying Videogames
Bulgaria,14238,11985,118.8,eci_table_05,6975761.0,86000000000.0,64,4.34,71.0,74.9,5256027.0,55.4,0.00204106763405455,12328.404026456756,1.187984981226533,0.001718092119268421,Stop Destroying Videogames
Croatia,14403,8460,170.25,eci_table_05,4067500.0,60415553039.0,73,6.93,67.9,78.1,2328318.0,51.2,0.00354099569760295,14853.239837492318,1.7024822695035462,0.002079901659496005,Stop Destroying Videogames
Cyprus,1997,4230,47.21,eci_table_05,1198575.0,24564647935.0,131,7.27,75.9,80.8,800708.0,63.1,0.0016661452141084204,20494.87761299877,0.47210401891252957,0.003529190914210625,Stop Destroying Videogames
Czech Republic,25935,14805,175.18,eci_table_05,10669709.0,246489245495.0,139,1.93,64.1,79.0,7887156.0,60.6,0.0024307129650864893,23101.777704996453,1.75177304964539,0.0013875729881667814,Stop Destroying Videogames
Denmark,36010,9870,364.84,eci_table_05,5818553.0,348078018464.0,137,4.91,80.6,81.0,5119978.0,62.2,0.006188823922373827,59822.092960913134,3.648429584599797,0.0016962980314865225,Stop Destroying Videogames
Estonia,9296,4935,188.37,eci_table_05,1331824.0,31386949981.0,31,5.11,69.6,78.2,916024.0,63.6,0.006979901248212977,23566.890205462583,1.8836879432624114,0.003705444563245594,Stop Destroying Videogames
Finland,54538,9870,552.56,eci_table_05,5520314.0,268761201365.0,18,6.59,88.2,81.7,4716888.0,59.1,0.00987951047712141,48685.853986747854,5.525633232016211,0.0017879417728774124,Stop Destroying Videogames
France,145289,55695,260.87,eci_table_05,67059887.0,2715518274227.0,119,8.43,65.6,82.5,54123364.0,55.1,0.0021665559919598434,40493.9285720389,2.6086542777628154,0.0008305263025569965,Stop Destroying Videogames
Germany,233180,67680,344.53,eci_table_05,83132799.0,3845630030824.0,240,3.04,70.2,80.9,64324835.0,60.8,0.002804909768525898,46258.8782897109,3.4453309692671397,0.0008141191059860742,Stop Destroying Videogames
Greece,19618,14805,132.51,eci_table_05,10716322.0,209852761469.0,81,17.24,136.6,81.3,8507474.0,51.8,0.0018306654092700835,19582.53601086268,1.3250928740290442,0.0013815374342055044,Stop Destroying Videogames
Hungary,25595,14805,172.88,eci_table_05,9769949.0,160967157504.0,107,3.4,48.5,75.8,6999582.0,56.5,0.002619768025401156,16475.741838979917,1.7288078351908138,0.0015153610320790825,Stop Destroying Videogames
Republic of Ireland,36073,9165,393.6,eci_table_05,5007069.0,388698711348.0,72,4.93,77.8,82.3,3133123.0,62.1,0.007204414398922803,77629.9889911643,3.93595199127114,0.0018304121632835497,Stop Destroying Videogames
Italy,77030,53580,143.77,eci_table_05,60297396.0,2001244392042.0,206,9.89,61.9,82.9,42651966.0,49.6,0.0012775012705357957,33189.56579886136,1.4376633072041807,0.0008885955871129162,Stop Destroying Videogames
Latvia,7526,5640,133.44,eci_table_05,1912789.0,34117202555.0,30,6.52,88.1,74.7,1304943.0,61.4,0.003934568841623409,17836.364886560932,1.3343971631205673,0.0029485740455429217,Stop Destroying Videogames
Lithuania,14461,7755,186.47,eci_table_05,2786844.0,54219315600.0,43,6.35,72.4,75.7,1891013.0,61.6,0.005189023856376603,19455.45412660343,1.8647324306898776,0.0027827176548095266,Stop Destroying Videogames
Luxembourg,2465,4230,58.27,eci_table_05,645397.0,71104919108.0,242,5.36,19.2,82.1,565488.0,59.3,0.0038193545987973295,110172.37314087298,0.58274231678487,0.006554105457571077,Stop Destroying Videogames
Malta,2007,4230,47.45,eci_table_05,502653.0,14786156563.0,1380,3.47,54.3,82.3,475902.0,56.5,0.003992814128235582,29416.230606402427,0.474468085106383,0.008415348162648984,Stop Destroying Videogames
