Petition_ID,Petition_Name,Country,Genre,Year,Total_Signatures,Successful,Signatures,Signatures_Per_Capita,Population,Population_Density,GDP_Per_Capita,Unemployment,Tertiary_Enrollment,Life_Expectancy,Media_Literacy_Index,Governance,Social_Capital,Personal_Freedom,Education
eci_table_21,Fur Free Europe,Cyprus,Animal Welfare,2022,1502319,True,603,0.0005030974281959,1198575.0,131,20494.87761299877,7.27,75.9,80.8,39,65.69,56.86,78.31,79.14
eci_table_21,Fur Free Europe,Czech Republic,Animal Welfare,2022,1502319,True,31722,0.0029730895191237,10669709.0,139,23101.777704996453,1.93,64.1,79.0,58,68.72,61.62,82.53,80.66
eci_table_21,Fur Free Europe,Denmark,Animal Welfare,2022,1502319,True,52178,0.0089675216501422,5818553.0,137,59822.092960913134,4.91,80.6,81.0,73,89.45,82.56,94.09,87.48
eci_table_21,Fur Free Europe,Estonia,Animal Welfare,2022,1502319,True,5808,0.0043609365802087,1331824.0,31,23566.890205462583,5.11,69.6,78.2,71,79.03,61.94,87.2,82.19
eci_table_21,Fur Free Europe,Finland,Animal Welfare,2022,1502319,True,82067,0.0148663644857883,5520314.0,18,48685.853986747854,6.59,88.2,81.7,74,90.41,77.27,91.96,88.38
eci_table_21,Fur Free Europe,France,Animal Welfare,2022,1502319,True,107672,0.0016056096247224,67059887.0,119,40493.9285720389,8.43,65.6,82.5,57,77.24,60.6,79.06,81.27
eci_table_21,Fur Free Europe,Germany,Animal Welfare,2022,1502319,True,518534,0.0062374177970358,83132799.0,240,46258.8782897109,3.04,70.2,80.9,61,84.39,65.96,87.7,83.45
eci_table_21,Fur Free Europe,Greece,Animal Welfare,2022,1502319,True,16713,0.0015595835959389,10716322.0,81,19582.53601086268,17.24,136.6,81.3,38,60.81,52.31,73.3,79.34
eci_table_21,Fur Free Europe,Hungary,Animal Welfare,2022,1502319,True,6515,0.0006668407378585,9769949.0,107,16475.741838979917,3.4,48.5,75.8,41,45.75,59.51,60.36,77.34
eci_table_21,Fur Free Europe,Republic of Ireland,Animal Welfare,2022,1502319,True,5455,0.0010894597218452,5007069.0,72,77629.9889911643,4.93,77.8,82.3,70,81.72,67.73,88.59,85.0
eci_table_21,Fur Free Europe,Italy,Animal Welfare,2022,1502319,True,83164,0.0013792303733978,60297396.0,206,33189.56579886136,9.89,61.9,82.9,47,62.33,60.97,78.44,80.0
eci_table_21,Fur Free Europe,Latvia,Animal Welfare,2022,1502319,True,64162,0.0335436893457668,1912789.0,30,17836.364886560932,6.52,88.1,74.7,55,68.82,55.06,81.39,81.36
